ID,Store Name,Street Address,City,State/Province,Country,Longitude,Latitude
51,Torreon Cimaco,"Indepenpencia Boulevard #1300, Col Navarro",Torreon,COA,MX,-103.41,25.58
52,Plaza 505 Torreon,"Autopista Torreon San Pedro #505, Fracc. Santa Barbara",Torreon,COA,MX,-103.42,25.58
53,La Rosita,"Paseo de la Rosita S/N Col Campestre la, Rosita C.P. 27250",Torreon,COA,MX,-103.42,25.52
54,Colima Sevilla,"Av. Felipe Sevilla del Rio No. 351, Reyes, Col. Jardines Vista Hermosa",Colima,COL,MX,-103.71,19.25
55,Manzanillo Blvd Madrid,"Blvd. Miguel de la Madrid No. 8714, Fracc. 01",Manzanillo,COL,MX,-104.33,19.1
56,STIM,"de la Industria Militar 1296,, Lomas de Chamizal, Cuajimalpa",Ciudad de Mexico,DIF,MX,-99.26,19.39
57,EMERSON,"Homero n.503, Col. Chapultepec Morales, Del. Miguel Hidalgo",DF,DIF,MX,-99.19,19.44
58,Narvarte,"Palanque s/n, Col. Narvarte",DF,DIF,MX,-99.15,19.4
59,Pasaje San Jeronimo,AV SAN JERONIMO 819 COL SAN JERONIMO,DISTRITO FEDERAL,DIF,MX,-99.23,19.32
60,RENATO LEDUC,RENATO LEDUC 224 COL TORIELLO GUERRA,DISTRITO FEDERAL,DIF,MX,-99.16,19.3
61,Melchor Ocampo,"Melchor Ocampo n.453 Col. Anzures, Del. Miguel Hidalgo",MEXICO,DIF,MX,-99.18,19.42
62,Forum Buenavista,"Norte Mosqueta 259, Esq. Insurgentes N, Delegacion Cuauhtemoc",Mexico,DIF,MX,-99.13,19.49
63,Pabellon Cuemanco,"Canaverales #222, Col. Granjas Coapa, Del. Tlalpan",Mexico,DIF,MX,-99.11,19.29
64,Via Vallejo,"Calzada Vallejo numero 1090, Colonia Industrial Vallejo",Mexico,DIF,MX,-99.15,19.49
65,Torre Virreyes,"Pedregal #24, Colonia Molino del Rey",Mexico,DIF,MX,-99.2,19.33
66,Madero II,"Av. Madero esquina Bolivar, Bolivar Centro Historico Cd Mex",Mexico,DIF,MX,-99.14,19.44
67,Picacho,"Carretera Picacho Ajusco n.557, Col. Lomas de Padierna",Mexico,DIF,MX,-99.21,19.28
68,Monte Pelvoux,"Monte Pelvoux No.210, Lomas Chapultepec",Mexico,DIF,MX,-99.2,19.43
69,Calzada de Tlalpan,"Calzada de Tlalpan 564, Col Tlalpan Nativitas",Mexico,DIF,MX,-99.15,19.34
70,SPA,"Rio Lerma n. 303, Col. Cuauhtemoc, Del. Cuauhtemoc",Mexico,DIF,MX,-99.18,19.43
71,Miyana,"Moliere esquina Cervantes Saavedra, Moliere esq C. Saavedra Col Granada",Mexico,DIF,MX,-99.2,19.44
72,Hospital Angeles Interlomas,"Vialidad de la Barranca No. 22, Col. Valle de las Palmas",Mexico,DIF,MX,-99.28,19.39
73,Torre Polanco,"Mariano Escobedo No.476, Anzures",Mexico,DIF,MX,-99.18,19.43
74,Oasis II - PA,"Avenida Universidad numero 1778, Col. Romero de Terreros, Del. Coyoacan",Mexico,DIF,MX,-99.18,19.35
75,Patio Claveria,"Egipto #142 Col. Claveria, Delegacion Azcapotzalco",Mexico,DIF,MX,-99.18,19.46
76,Antara II,"Av. Ejercito Nacional 843, Local H 103, Col. Granada Delegación Miguel Hidalgo",Mexico,DIF,MX,-99.2,19.44
77,Bosque de Aragon,Av 510 n.340 Pueblo Sn Juan de Aragon,Mexico,DIF,MX,-99.08,19.47
78,Plaza Rio San Joaquin,"Calzada Legaria N 549, Col. Diez de Abril",Mexico,DIF,MX,-99.21,19.45
79,BBVA,Lago Alberto No. 320 Colonia Anahuac,Mexico,DIF,MX,-99.18,19.44
80,Obrero Mundial,"Obrero Mundial 296 Narvarte, Benito Juarez",Mexico,DIF,MX,-99.16,19.4
81,Roma Sur,"Monterrey n.330, Col., Roma Sur District",Mexico,DIF,MX,-99.16,19.41
82,Punto Polanco,"Lago Alberto esquina Mariano Escobedo, Mariano Escobedo",Mexico,DIF,MX,-99.02,19.3
83,SPA,"Av. Félix Cuevas n.274, Col. Del Valle",MEXICO,DIF,MX,-99.17,19.37
84,Corporativo BBVA Bancomer Reforma,"Av Paseo de la Reforma 510, Colonia Juarez",Mexico,DIF,MX,-99.17,19.42
85,SPA,"Manzanas n. 40 Col Del Valle, Del. Benito Juarez",Mexico,DIF,MX,-99.18,19.37
86,Tlalpan Hospitales,Tlalpan 4731 Col. Toriello Guerra,Mexico,DIF,MX,-99.16,19.29
87,AICM T1 S21 and 22,Aeropuerto Intenacional de la Cd. Mex,Mexico,DIF,MX,-97.88,22.3
88,PARQUE DELTA III,"Av. Cuauhtemoc 462, Col. Narvarte, Del. Benito Juarez",MEXICO,DIF,MX,-99.16,19.4
89,Patio Lomas Estrella,"Av. Tlahuac #4409, Col. Lomas Estrella",Mexico,DIF,MX,-99.09,19.32
90,Torre Origami,"Av. Insurgentes Sur n.1458, Col., Local 2, Actipan District",Mexico,DIF,MX,-99.18,19.37
91,Parque Toreo,"Blvd. Adolfo Lopez Mateos, Esquina Rio San Joaquin",Mexico,DIF,MX,-99.19,19.39
92,Superama Santa Fe,Av. Tamaulipas No. 3000,Mexico City,DIF,MX,-99.28,19.36
93,Parques Polanco,Avenue Mariano Escobedo y Lago Alberto,Mexico City,DIF,MX,-99.19,19.44
94,Condesa II,"Michoacan #139, esq. Cuautla, Col. Condesa",Mexico City,DIF,MX,-99.17,19.41
95,Lomas Verdes II,"Super Avenida Lomas Verdes 1200, Fracc.",Mexico City,DIF,MX,-99.27,19.51
96,Moliere 222 II,"Moliere # 222 Col. Los Morales, Del. Miguel Hidalgo",Mexico City,DIF,MX,-99.2,19.43
97,Mazaryk Spencer,Av. Presidente Mazaryk #39,Mexico City,DIF,MX,-99.18,19.43
98,Homero,Av. Homero & E. Alan Poe,Mexico City,DIF,MX,-99.2,19.44
99,Torre del Angel Florencia,"Avenida Paseo de la Reforma, No. 342 Local 4  Col. Cuauhtemoc",Mexico City,DIF,MX,-99.17,19.43
100,Garden Santa Fe,"Dominguez, Colonia Centro de Cuidad, Santa Fe, Delegacion Alvaro Obregon",Mexico City,DIF,MX,-99.19,19.39
101,Park Plaza I,"Javier Barros Sierra, s/n Col Centro de Ciudad, Santa Fe",Mexico City,DIF,MX,-99.26,19.37
102,Prisma Insurgentes,"Av. Insurgentes Sur No. 1647, Col. San Jose Insurgentes",Mexico City,DIF,MX,-99.18,19.36
103,Londres,"107 Londres, Col. Juarez, Del. Cuauhtemoc",Mexico City,DIF,MX,-99.16,19.43
104,Masaryk Pasaje Polanco,"Presidente Masaryk #360 Col. Polanco, 19 Col. Polanco c.p., Del. Miguel Hidalg",Mexico City,DIF,MX,-99.2,19.43
105,Pabellon Azcapotzalco,"Nextengo 71, Azcapotzalco",Mexico City,DIF,MX,-99.19,19.47
106,Arboledas,Av. Jinetes No. 84,Mexico City,DIF,MX,-99.22,19.56
107,Balbuena,"Fray Servando Teresa de Mier No. 964, Jardin Balbuena, Venustiano Carranza",Mexico City,DIF,MX,-99.1,19.42
108,Montecitos WTC,"Montecito 38, Colonia Napoles, Delegacion Benito Juarez",Mexico City,DIF,MX,-99.17,19.39
109,Olivar de los Padres,"Av. Toluca #1086, Col.Olivar de los Padres, Alvaro Obregon",Mexico City,DIF,MX,-99.24,19.34
110,Plaza Oriente,"Canal de Tezontle 1520, Iztapalapa",Mexico City,DIF,MX,-99.08,19.38
111,Patio Universidad,"Av. Popocatepetl 540 esquina con av., Universidad 2038, Col. Xoco Delg. Coyoac",Mexico City,DIF,MX,-99.15,19.36
112,Zona Rosa,"Londres #127, Local #38, Plaza La Rosa",Mexico City,DIF,MX,-99.16,19.43
113,Division del Norte,"Av. Division del Norte No. 1746, Col. Portales",Mexico City,DIF,MX,-99.16,19.37
114,Amberes,"1A, Amberes Col. Juarez, Del. Cuauhtemoc",Mexico City,DIF,MX,-99.17,19.43
115,Juarez 32,"Juarez 30 Col Centro, Delegacion Cuauhtemoc",Mexico City,DIF,MX,-98.22,19.05
116,Corp. Coyoacan,"Avenida Coyoacan No. 1622, Local 101, Colonia Del Valle",Mexico City,DIF,MX,-99.17,19.37
117,Eduardo Molina,"Calzada San Juan De Aragon, No. Ext. 516, Col D M Nacional, Municipio O Delegacion",Mexico City,DIF,MX,-99.08,19.47
118,Embassy Suites Hotel,Av. Paseo de La Reforma # 69,Mexico City,DIF,MX,-99.15,19.43
119,Circuito Ingenieros,"Circuito Ingenieros # 11, Locales A y B,",Mexico City,DIF,MX,-99.23,19.51
120,Pabellon Polanco,"Av. Ejército Nacional 980, local K12, Col. Chapultepec Morales, Central Dist",Mexico City,DIF,MX,-99.21,19.44
121,Plaza La Hacienda,Prol Division del Nte 4344,Mexico City,DIF,MX,-99.13,19.3
122,Torre WTC,Montecitos No 38 N3 Local 03 Col Napoles,Mexico City,DIF,MX,-99.17,19.39
123,Castorena,"Jose Ma Castorena 320, Col. Villas Cuajimalpa",Mexico City,DIF,MX,-99.29,19.36
124,Jolie Place,"Av. De las Fuentes 425, local 6A",Mexico City,DIF,MX,-99.21,19.32
125,Santa Monica -,"Av. Juarez # 15, esq Convento de Acolman, Santa Monica",Mexico City,DIF,MX,-99.23,19.53
126,Parque Tezontle 2,1512 Avenue Canal de Tezontle,Mexico City,DIF,MX,-99.08,19.38
127,Centro Comercial Santa Fe,"Av. Vasco de Quiroga 3800, Local 255, Col. Antigua Mina La Totolapa",Mexico City,DIF,MX,-99.28,19.36
128,Insurgentes Sur Parroquia,"Insurgentes Sur #1405, Col. Insurgentes Mixcoac, Benito Juarez",Mexico City,DIF,MX,-99.18,19.37
129,Satelite Centro Civico,"Circuito Medicos # 45,  Ciudad Satelite",Mexico City,DIF,MX,-99.23,19.51
130,La Salle,47 Benjamin Franklin Hipodromo Condesa,Mexico City,DIF,MX,-99.18,19.41
131,Corporativo Banamex,"Act. Roberto Medellin 800 col Santa Fe, Del. Alvaro Obregon",Mexico City,DIF,MX,-99.26,19.37
132,Alfonso Reyes,"Alfonso Reyes 218 Colonia Hipodromo, Condesa, Delegacion Benito Juarez",Mexico City,DIF,MX,-99.17,19.41
