id,year,entidad,it,iego,invb,invi,invp,gcr,gpri,ifos,ahoin,ieit
1,2013,AGUAS13,-.564380586147308,1.73409068584442,-.866937637329102,-.822154223918915,-.801359057426453,-.593277752399445,-.597431898117065,-.55778181552887,-.497123688459396,-.160944744944572
2,2013,BC13,.180122971534729,-.650783181190491,-1.08908092975616,-1.15829432010651,-1.00634741783142,.551801383495331,.255569577217102,.216123819351196,-.738089740276337,.2012699842453
3,2013,BCS13,-.7901371717453,.869291663169861,-1.38984513282776,-1.41019129753113,-1.51138913631439,-.615797758102417,-.8019979596138,-.593378782272339,-.837343454360962,-.199496418237686
4,2013,CAMPC13,-.650896728038788,2.47976851463318,-1.52089536190033,-1.39220416545868,-1.12642812728882,-.524667978286743,-.667223453521729,-.425707668066025,-.51429957151413,.691287577152252
5,2013,CHIAP13,1.70187985897064,-.584172785282135,1.22288334369659,-.354435116052628,-.334087401628494,.892297685146332,1.50167846679688,.548075795173645,.353196710348129,-.230116784572601
6,2013,CHIHUA13,.792091965675354,2.56446862220764,-1.01305615901947,-1.51883256435394,-1.15345501899719,.48428001999855,.852250814437866,.197153076529503,-1.69050359725952,1.8906112909317
7,2013,COAHUI13,.194688156247139,1.79216122627258,-1.50247204303741,-1.60904824733734,-1.55823218822479,-.011197566986084,.0620589517056942,.00105678802356124,.392128676176071,1.00267040729523
8,2013,COLIM13,-.783391535282135,.406060427427292,-.543949007987976,-.818131446838379,-.755216956138611,-.567742943763733,-.794819176197052,-.573681533336639,-.704837262630463,-.0988962575793266
9,2013,DURAN13,-.278008580207825,-.33258131146431,-.863746166229248,-1.05211055278778,-1.07514333724976,-.21099716424942,-.244400516152382,-.388539046049118,-.725356698036194,-.0991235673427582
10,2013,DF13,4.7917742729187,2.48034381866455,-.327693372964859,-1.3073627948761,1.16141200065613,6.48470211029053,4.68373346328735,5.69934892654419,5.92569208145142,4.69777727127075
11,2013,GUNJT13,1.20474600791931,.297293812036514,-1.17456781864166,-1.23157131671906,-1.18983566761017,.268134653568268,1.06757509708405,.411488473415375,.566864609718323,-.0393685884773731
12,2013,GUERR13,.361547589302063,-.754302442073822,-.807388305664063,-.398889482021332,-1.22044551372528,-.284827560186386,.345322847366333,-.220198154449463,-.231057897210121,-.671162307262421
13,2013,HIDALG13,.167482823133469,.684026479721069,-.850448310375214,-.85496187210083,-1.13184213638306,-.410555958747864,.229280740022659,-.236283615231514,-.542674124240875,-.364976286888123
14,2013,JALISC13,2.04548645019531,1.42636799812317,-1.5968542098999,-1.67172586917877,-1.76395535469055,.644462585449219,1.90705859661102,.99833470582962,.235255688428879,.501968324184418
15,2013,EDOMEX13,4.69171094894409,-.145833700895309,-.493254780769348,-.777224123477936,-.362525641918182,3.0154345035553,4.66876888275146,2.76425743103027,2.30346012115479,.187876045703888
16,2013,MICH13,.847707808017731,-.369115501642227,-.36938551068306,-.776209831237793,-.696256458759308,.443497508764267,.849844515323639,.210172921419144,-.496116012334824,-.0829169675707817
17,2013,MOREL13,-.406450420618057,.26709833741188,-1.15554523468018,-1.18698227405548,-1.34507632255554,-.454093277454376,-.313754200935364,-.407494336366653,-1.09182119369507,-.222625777125359
18,2013,NAYAR13,-.52999210357666,.524671137332916,-1.38331067562103,-1.57556354999542,-1.64463567733765,-.437323689460754,-.538920760154724,-.477642804384232,-.710104525089264,.0826712846755981
19,2013,NVLEN13,1.62988913059235,3.101478099823,-1.33413827419281,-1.54832351207733,-1.26346576213837,.852613270282745,1.83358311653137,.9035325050354,.753280103206635,1.99308514595032
20,2013,OAXAC13,.993304073810577,1.02004814147949,-.124604292213917,-.996964395046234,-1.01125860214233,-.0827547758817673,1.10806488990784,.0283639430999756,-.478482127189636,-.0886570885777473
21,2013,PUEBL13,1.74959266185761,1.85270321369171,-1.12799644470215,-1.51556301116943,-1.37722718715668,.590368449687958,1.68648374080658,.71176415681839,.128238528966904,.792987883090973
22,2013,QUERE13,-.242092773318291,3.13490748405457,-1.1713399887085,-1.3982869386673,-1.04282581806183,-.386282950639725,-.278434604406357,-.233367413282394,-.322273254394531,.905073702335358
23,2013,QUINTR13,-.409461289644241,1.15685713291168,-1.12426340579987,-1.33810424804688,-1.14517688751221,-.34040504693985,-.33544734120369,-.359650135040283,-1.15475356578827,.552410542964935
24,2013,SLPS13,.108629204332829,.502741396427155,-1.07852160930634,-1.31029796600342,-1.00991559028625,-.0885761678218842,-.199458509683609,-.211482733488083,-.431943297386169,.229509189724922
25,2013,SINAL13,.389023393392563,-.152098819613457,.139244273304939,.0301864333450794,-.0456192418932915,-.0449100770056248,.422245025634766,.0386685281991959,-.154293194413185,-.216319724917412
26,2013,SONOR13,.333220630884171,.570859611034393,-.98119443655014,-1.21000385284424,-.871218740940094,.184527635574341,.40854623913765,.138159319758415,-.35032719373703,.545331299304962
27,2013,TABAS13,.400848150253296,-.143100515007973,-1.5705258846283,-1.62899112701416,-1.71998655796051,.166274726390839,.281002759933472,.147227346897125,.0346414484083653,.0256730169057846
28,2013,TAMAP13,.452303647994995,1.13307201862335,-1.21897447109222,-1.46278071403503,-1.2396240234375,.226716428995132,.434698492288589,.125227063894272,.0142594091594219,.850433886051178
29,2013,TLAXC13,-.622474670410156,-.812801599502563,-.102425463497639,.402639448642731,-.413021475076675,-.532925605773926,-.785464882850647,-.367955893278122,-.0389542356133461,-.633239448070526
30,2013,VERACR13,2.54202365875244,.0947414562106133,-.650625288486481,-.901884019374847,-.720376312732697,1.10834670066834,2.53668117523193,.939237892627716,.780990540981293,.0375246554613113
